SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 15/12 19:00 15-12 19:00, GRE1 GRE1, Live, 4′ Aris- Panetolikos (0-0) (10) 80' Aris- Panetolikos (1-2) (5), over 2 over 3.5, 1.85 2.50,15, bet365, 1-2,3.5
Soccer, 16/12 15:00, GRE2, Pre-Match, Apollon K. – Apollon L, 1X,2,10, bet365, 1-0,10
Soccer, 16/12 16:00, CYP1, Live, 15′ Omonia – Apoel (0-0),2,1.8,15, bet365, 1-2,12
Soccer, 16/12 19:00, GRE1, Pre-Match, Pao – Atromitos, X2,1.85,10, bet365, 1-0,-10
Soccer, 18/12 15:00, GRECUP, Live, 70′ Ierapetra – Panetolikos (0-0), over 0.75,1.75,10, bet365, 0-0,-10
Soccer, 19/12 15:30 19-12 15:30, GRECUP GRECUP, Pre-Match, Kissamikos – Pao 0.75:0 (20) 30' Kissamikos - Pao (0-1) (5), 2 asian over 1.5 HT, 1.85 2.20,25, bet365, 1-2 0-1,3.5
Soccer, 20/12 15:00 20-12 15:00 20-12 15:00, GRECUP GRECUP GRECUP, Pre-Match, Apollon L. – Lamia 1.75:0 (10) Apollon L. - Lamia (10) 20' Apollon L. - Lamia (0-1) (10), 2 asian over 3 over 4.5, 1.95 1.90 1.82,30, bet365, 0-7,26.7
Soccer, 20/12 17:15 20-12 17:15 20-12 17:15 20-12 17:15, GRECUP GRECUP GRECUP GRECUP, Pre-Match, Irodotos – Panionios 1:0 Tx3u Ierapetra - Panetolikos 1.5:0 Spata - PAOK 1:0 Cx3u Apollon P. - Asteras Tr. 2:0, 2 asian 2 asian 2 asian HT 2 asian, 1.95 2.00 1.77 1.90,15, bet365, 1-2 0-0 0-2 0-4,-4.88
Soccer, 20/12 17:15 20-12 17:15, GRECUP GRECUP, Live, 45′ Ergotelis – Aris 0.75:0 (1-0) (15) 81' Ergotelis - Aris (3-2) (10), 2 asian over 5.5, 1.82 1.77,25, bet365, 3-2,-25
Soccer, 20/12 17:15, GRECUP, Live, 41′ Aittitos S. – PAOK (0-2), over 5.5,1.75,10, bet365, 0-6,7.5
Soccer, 20/12 19:30, GRECUP, Live, 25′ Apollon K. – AEL (0-0), 2/2,2.5,10, stoiximan, 0-2/0-4,15
Soccer, 20/12 19:30, GRECUP, Live, 55′ Apollon K. – AEL 1:0 (0-2), 2 asian,1.78,10, pinnacle, 0-4,7.8
Soccer, 22/12 14:30, CYP2, Pre-Match, Akritas – Aris L., 2 DNB,1.66,20, bet365, 2-4,13.2
Soccer, 22/12 17:00, CYP1, Live, 75′ Pafos – Apollon L. (1-1), over 2.5,1.7,20, bet365, 1-1,-20
Soccer, 23/12 15:00, GRE2, Live, 81′ Ergotelis – Panachaiki (1-1), over 2.5,3.1,5, bet365, 2-1,10.5
Soccer, 23/12 16:00, CYP1, Pre-Match, AEL – Anorthosi, X2,1.8,15, bet365, 0-3,12
Soccer, 23/12 17:00, CYP1, Pre-Match, Alki – Doksa K., 2 DNB,1.83,15, bet365, 2-1,-15
Soccer, 02/01 18:00, CYP1, Live, 10′ AEK Larnaka- Paphos (0-0) 0:1.5, 1 asian,1.95,15, bet365, 1-1,-15
