SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 22/09 20:45, HOL1, Live, 72’ Excelsior – Heerenveen (3-2), over 5.5, 1.76, 10, pinnacle, 3-3, +7.6,
Soccer, 22/09 21:00, BRACUP, Live, 60′ Piracicaba – Rio Claro (1-1), over 3, 1.95, 10, bet365, 1-2, 0,
Soccer, 22/09 21:00, FRA1, Pre-Match, Angers – Toulouse, over 2, 1.75, 10, sbobet, 0-0, -10,
Soccer, 22/09 21:30, POL1, Pre-Match, Legnica – Legia 0:0, 2 asian, 1.77, 10, pinnacle, 1-4, +7.7,
Soccer, 23/09 02:30 23-09 02:30 23-09 02:30, USA1, Live, 61’ New England – Chicago (0-1) (10) 67’ New England - Chicago (1-2) (10) 74’ New England - Chicago (2-2) (15), over 2 over 3.75 over 4.5, 1.73 1.83 1.72, 35, bet365, 2-2, -3.55,
Soccer, 23/09 14:00, THAI2, Live, 87′ Kasetsart – Nong Bua (0-1), over 1.5, 3.50, 5, bet365, 0-1, -5,
Soccer, 23/09 14:00, THAI1, Live, 79’ Chiangrai – Navy (2-2), over 4.5, 1.72, 10, bet365, 2-2, -10,
Soccer, 23/09 14:30, GER2, Live, 74′ Paderborn – Magdenburg (3-2), over 5.5, 1.75, 10, bet365, 4-4, +7.5,
Soccer, 23/09 15:30, EPL, Pre-Match, West Ham – Chelsea, GG & over, 1.95, 5, bet365, 0-0, -5,
Soccer, 23/09 16:00, ZMB1, Live, 66′ Red Arrows – Nkana (1-1), over 1.5, 1.72, 5, bet365, 1-1, -5,
Soccer, 23/09 18:00, EPL, Pre-Match, Arsenal – Everton 0:1.25, 2 asian, 1.94, 15, bet365, 2-0, -15,
Soccer, 23/09 19:00, NOR2, Live, 82′ Ham Kam-Levanger(2-2), over 4.5, 2.35, 10, bet365, 2-2, -10,
Soccer, 23/09 19:00 23-09 07:00, GRE1 GRE1, Pre-Match, Panathinaikos – Levadiakos (2) anytime / first goalscorer (1), Ch/doridis Ch/doridis, 18.00 41.00, 3, stoiximan, Yes No, +33,
Soccer, 23/09 20:00, USA1, Pre-Match, Philadelphia – Sporting KC 0:0, 2 asian, 1.93, 10, bet365, 2-0, -10,
Soccer, 23/09 21:30, ITA1, Pre-Match, Frosinone – Juventus, 2 & under 3.5, 2.05, 10, stoiximan, 0-2, +10.5,
Soccer, 24/09 02:00, MEX1, Pre-Match, Santos Laguna – Veracruz, over 2.5, 1.82, 15, pinnacle, 1-1, -15,
