SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 08/12 22:00, ARG1, Pre-Match, Temperley – Tigre 0:0, 1 asian, 1.94, 20, pinnacle, 2-1, +18.8,
Soccer, 09/12 17:00, CHI1, Live, 76′ Deportes Temuco – Un. Concepcion (1-1), over 2.5, 1.70, 20, bet365, 1-1, -20,
Soccer, 09/12 21:00, ESP2, Pre-Match, Numancia – Lorca 0:0.75, 1 asian, 2.00, 20, bet365, 1-0, +10,
Soccer, 09/12 22:00, ECU1, Live, 25′ Independiente del Valle – Un. Catolica 0:0.75 (0-0), 1 asian, 1.80, 20, bet365, 2-0, +16,
Soccer, 10/12 17:30, CHI1, Live, 79′ Antofagasta – Un. Catolica (2-2), over 4.5, 1.70, 30, bet365, 2-4, +21,
Soccer, 10/12 21:00, BOL1, Live, 12′ Guabira – Oriente Petrolero 0:0.25 (0-0), 2 asian, 1.93, 20, bet365, 1-0, -20,
Soccer, 10/12 21:00, BOL1, Live, 74′ Nacional Potosi – Bolivar (1-1), over 2.5, 1.80, 25, bet365, 1-1, -25,
Soccer, 10/12 21:00, BOL1, Live, 81′ San Jose – Sport Boys (1-1), over 2.5, 1.70, 15, bet365, 1-2, +10.5,
Soccer, 10/12 21:00, BOL1, Live, 85′ San Jose – Sport Boys (1-2), over 3.5, 2.00, 15, bet365, 1-2, -15,
Soccer, 10/12 22:00, PERCUP, Pre-Match, Jose Carlos Mariategui – Atletico Grau, 2, 1.90, 20, bet365, 2-3, +18,
Soccer, 14/12 01:00, CHI1, Pre-Match, Un. Concepcion – Un. Espanola 0:0, 2 asian, 1.80, 20, bet365, 1-0, -20,
Soccer, 16/12 17:00, ESP3, Pre-Match, Llagostera – Hercules 0:0, 1 asian, 1.80, 20, bet365, 0-1, -20,
